订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
123,1,117.89271411026832;24.374961617673485,118.11717366649839;24.71920604093249,4,2023/2/20 18:20,2023/2/20 20:00,1
124,2,117.50934749530505;25.007309666789574,117.99117573074844;24.621686104337805,2,2023/2/20 10:10,2023/2/20 13:40,1
125,1,117.38285069212795;23.65282443206233,118.03659293067844;24.765431816704506,2,2023/2/20 19:00,2023/2/20 21:30,1
126,2,117.42135587317563;24.983337232180485,118.0329870636804;24.647951852065273,2,2023/2/20 17:20,2023/2/20 19:00,1
127,1,117.47530985021562;24.669888163811347,118.19715856557124;24.549886424928417,3,2023/2/20 15:00,2023/2/20 17:00,1
128,2,117.1489729609275;23.738581407544018,118.18273978466647;24.58012635769914,4,2023/2/20 13:20,2023/2/20 16:10,1
129,3,117.97914902427267;24.231254182072036,118.23679085899407;24.825284620014948,4,2023/2/20 13:00,2023/2/20 15:10,1
130,2,117.2061552569025;23.76528114756197,118.10142347069328;24.667764761659317,2,2023/2/20 15:20,2023/2/20 18:00,1
131,2,117.80041896825288;24.401567360436925,118.21171498983585;24.720190215085896,3,2023/2/20 6:00,2023/2/20 8:00,1
132,1,117.38736904540428;24.77583543994673,118.06227293152993;24.638830956624727,1,2023/2/20 15:00,2023/2/20 18:40,1
133,1,117.4583948669168;23.922265274574595,118.12716116320996;24.863411908443343,2,2023/2/20 12:30,2023/2/20 14:10,1
134,2,117.34030355304311;24.714190327237475,118.1611642882363;24.4396155949103,2,2023/2/20 10:00,2023/2/20 12:00,1
135,1,117.93103390576792;24.729419667697893,118.15497139038868;24.791016651056236,2,2023/2/20 8:20,2023/2/20 11:00,1
136,1,117.1109477409448;23.819662182434104,118.257105229325;24.65615776243608,4,2023/2/20 12:00,2023/2/20 15:00,1
137,1,117.3792595113963;24.281249616906578,118.17942421545808;24.532986318769403,2,2023/2/20 9:40,2023/2/20 12:30,1
138,2,117.23916269956409;24.211580956396535,118.06759685264812;24.570692759074312,1,2023/2/20 12:30,2023/2/20 15:10,1
139,1,117.71809448646499;24.27622099469845,118.12244356956924;24.486898414345355,2,2023/2/20 18:20,2023/2/20 20:10,1
140,3,117.89628978367095;24.318578737582854,118.19622401074315;24.62435779870681,1,2023/2/20 19:10,2023/2/20 22:00,1
141,2,117.73719086468174;24.224572700842895,118.05939078509714;24.702506132165748,3,2023/2/20 18:00,2023/2/20 21:00,1
142,1,117.47050557896328;24.480386983180452,118.17882717675684;24.483003926868456,2,2023/2/20 9:20,2023/2/20 12:10,1
143,2,117.62958234560539;24.45439884482236,118.16335178195281;24.652787864015764,3,2023/2/20 14:30,2023/2/20 16:20,1
144,2,118.04101255419718;24.272346491855124,118.08878591657607;24.579572913616648,2,2023/2/20 6:20,2023/2/20 9:00,1
145,1,116.95691171026354;24.333619875599453,118.18119361760444;24.55404449999228,1,2023/2/20 8:00,2023/2/20 10:20,1
146,1,117.27518111384612;24.83368140166752,117.94225366295657;24.549340764333053,3,2023/2/20 6:40,2023/2/20 9:10,1
147,3,117.83484768357069;24.30386763840631,118.1209754786019;24.858016517752933,4,2023/2/20 19:40,2023/2/20 22:10,1
148,2,117.78222127122544;24.72626710491461,118.24219259639175;24.751215380958076,1,2023/2/20 19:10,2023/2/20 22:00,1
149,2,117.32667930069869;24.44870568687046,118.07151265217;24.49755441687103,1,2023/2/20 9:40,2023/2/20 11:00,1
150,1,117.94345281728569;24.69804843092685,117.97844016765272;24.48676920425342,2,2023/2/20 6:00,2023/2/20 9:20,1
151,1,117.693637;24.52824,118.18522926967;24.509901606398,2,2023/2/20 7:20,2023/2/20 9:00,1
152,2,117.684811;24.512424,118.182606;24.495634,2,2023/2/20 8:40,2023/2/20 11:10,1
153,3,117.669991;24.528661,118.182606;24.495634,4,2023/2/20 13:00,2023/2/20 16:00,1
154,2,117.678913;24.516279,118.16725;24.491793,3,2023/2/20 10:40,2023/2/20 13:30,1
155,4,117.653827;24.519197,118.11000790788;24.4952953124,3,2023/2/20 10:40,2023/2/20 13:00,1
156,2,117.653827;24.519197,118.11000790788;24.4952953124,3,2023/2/20 11:40,2023/2/20 13:00,1
157,2,117.678178;24.523221,118.112696;24.533559,3,2023/2/20 15:00,2023/2/20 17:30,1
158,2,117.689955;24.524545,118.096457;24.448393,2,2023/2/20 16:30,2023/2/20 19:10,1
159,2,117.705381;24.510971,118.039564;24.490319,4,2023/2/20 16:30,2023/2/20 18:20,1
160,3,117.674388;24.508624,118.12499;24.522723,2,2023/2/20 13:10,2023/2/20 15:10,1
161,4,117.670683;24.506202,118.09049818121;24.463037798054,2,2023/2/20 11:00,2023/2/20 13:00,1
162,4,117.676667;24.528841,118.101806;24.47655,1,2023/2/20 14:00,2023/2/20 17:00,1
163,2,117.665722;24.522311,118.12763;24.487841,2,2023/2/20 18:40,2023/2/20 21:10,1
164,4,117.654187;24.537701,118.065654;24.499184,1,2023/2/20 14:00,2023/2/20 16:00,1
165,1,117.63587;24.544614,118.16020853539;24.498664190714,3,2023/2/20 16:20,2023/2/20 18:20,1
166,4,117.63587;24.544614,118.052359;24.486362,3,2023/2/20 18:20,2023/2/20 21:40,1
167,2,117.653827;24.519197,118.181416;24.497763,3,2023/2/20 14:00,2023/2/20 17:10,1
168,2,117.641443;24.527458,118.162783;24.491114,3,2023/2/20 10:00,2023/2/20 13:00,1
169,3,117.68131919888;24.500737817929,118.16457;24.492842,1,2023/2/20 18:40,2023/2/20 21:30,1
170,2,117.676667;24.528841,118.138479;24.523868,2,2023/2/20 13:40,2023/2/20 16:10,1
171,3,117.654187;24.537701,118.13413136336;24.499481864318,4,2023/2/20 9:20,2023/2/20 12:40,1
172,3,117.671412;24.514192,118.14763792568;24.541314317145,2,2023/2/20 18:40,2023/2/20 21:30,1
173,3,117.671412;24.514192,118.198659;24.51389,2,2023/2/20 10:10,2023/2/20 13:20,1
174,3,117.751241;24.508862,118.140964;24.500304,2,2023/2/20 14:30,2023/2/20 16:10,1
175,2,117.678899;24.515901,118.122401;24.484232,1,2023/2/20 16:10,2023/2/20 19:00,1
176,4,117.630284;24.523594,118.19745211026;24.526807390155,1,2023/2/20 6:10,2023/2/20 9:20,1
177,2,117.690664;24.529167,118.138195;24.540451,4,2023/2/20 10:00,2023/2/20 13:30,1
178,1,117.637211;24.523941,118.10514206076;24.478344854301,3,2023/2/20 12:00,2023/2/20 14:10,1
179,1,117.726313;24.508119,118.183899;24.510833,4,2023/2/20 16:00,2023/2/20 19:40,1
180,2,117.637211;24.523941,118.140208;24.539503,3,2023/2/20 12:00,2023/2/20 14:00,1
181,3,117.6834;24.503343,118.17291938929;24.48851964441,4,2023/2/20 7:30,2023/2/20 9:30,1
182,1,117.6834;24.503343,118.116572;24.470883,1,2023/2/20 15:00,2023/2/20 18:00,1
183,3,117.708133;24.508331,118.01535;24.49472,1,2023/2/20 10:10,2023/2/20 13:40,1
184,1,117.671234;24.503694,118.128473;24.442679,2,2023/2/20 13:40,2023/2/20 16:00,1
185,3,117.635354;24.530235,118.14903050488;24.508144093018,2,2023/2/20 18:00,2023/2/20 21:20,1
186,1,117.637117;24.529246,118.104233;24.477602,4,2023/2/20 7:30,2023/2/20 9:30,1
187,2,117.642692;24.521122,118.186522;24.513146,1,2023/2/20 11:20,2023/2/20 14:00,1
188,2,117.642692;24.521122,118.118408;24.434435,4,2023/2/20 11:30,2023/2/20 14:20,1
189,2,117.684146;24.503435,118.184026;24.510897,1,2023/2/20 6:10,2023/2/20 9:30,1
190,4,117.67186;24.518244,118.168469;24.530683,3,2023/2/20 15:00,2023/2/20 17:00,1
191,4,117.67186;24.518244,118.153518;24.536221,4,2023/2/20 10:10,2023/2/20 13:10,1
192,4,117.680122;24.523849,118.204635;24.501241,3,2023/2/20 9:30,2023/2/20 11:00,1
193,3,117.663166;24.520764,118.106363;24.467081,3,2023/2/20 7:40,2023/2/20 9:00,1
194,1,117.643843;24.525703,118.16983147291;24.524612869969,4,2023/2/20 9:20,2023/2/20 12:00,1
195,4,117.704549;24.51671,118.103837;24.445274,1,2023/2/20 13:00,2023/2/20 15:00,1
196,2,117.682731;24.541911,118.183899;24.510833,3,2023/2/20 19:40,2023/2/20 21:00,1
197,4,117.665232;24.517371,118.183899;24.510833,2,2023/2/20 6:20,2023/2/20 8:10,1
198,1,117.688378;24.525087,118.051815;24.498884,2,2023/2/20 14:00,2023/2/20 16:00,1
199,3,117.685299;24.508767,118.165966;24.514566,1,2023/2/20 19:40,2023/2/20 22:40,1
200,2,117.695383;24.519713,118.180623;24.48723,1,2023/2/20 17:40,2023/2/20 20:20,1
201,4,117.67724;24.518549,118.151074;24.488211,4,2023/2/20 7:10,2023/2/20 10:00,1
202,3,117.678178;24.523221,118.083848;24.459592,3,2023/2/20 11:00,2023/2/20 13:20,1
203,3,117.663619;24.520761,118.038543;24.499683,4,2023/2/20 19:00,2023/2/20 21:30,1
204,3,117.906285;24.532037,118.159405;24.537005,4,2023/2/20 13:10,2023/2/20 16:40,1
205,4,117.684146;24.503435,118.186942;24.514413,3,2023/2/20 6:40,2023/2/20 9:00,1
206,4,117.67550422499;24.506087438163,118.118763;24.536886,3,2023/2/20 12:00,2023/2/20 14:40,1
207,2,117.661864;24.517239,118.16762522327;24.508258631854,1,2023/2/20 12:30,2023/2/20 14:00,1
208,3,117.644369;24.513184,118.122648;24.473529,2,2023/2/20 14:00,2023/2/20 17:20,1
209,1,117.72461687812;24.513313713423,118.100371;24.464382,3,2023/2/20 10:20,2023/2/20 13:30,1
210,1,117.678178;24.523221,118.138311;24.539495,2,2023/2/20 19:40,2023/2/20 21:00,1
211,1,117.906285;24.532037,118.087159;24.4665,1,2023/2/20 15:20,2023/2/20 17:00,1
212,2,117.643563;24.543397,118.139197;24.493458,3,2023/2/20 19:00,2023/2/20 21:40,1
213,4,117.729484;24.503786,118.124466;24.551239,4,2023/2/20 19:40,2023/2/20 21:20,1
214,3,117.687297;24.5209,118.107837;24.543986,1,2023/2/20 12:10,2023/2/20 14:40,1
215,1,117.684242;24.503223,118.08607167492;24.484148597976,1,2023/2/20 7:30,2023/2/20 9:30,1
216,3,117.666567;24.530413,118.103685;24.521407,4,2023/2/20 7:10,2023/2/20 10:30,1
217,2,117.751026;24.508916,118.094042;24.468186,4,2023/2/20 10:30,2023/2/20 13:10,1
218,3,117.663619;24.520761,118.148656;24.51882,2,2023/2/20 6:00,2023/2/20 9:00,1
219,3,117.660081;24.498861,118.105588;24.492714,4,2023/2/20 6:00,2023/2/20 9:10,1
220,2,117.684466;24.529476,118.145403;24.512697,4,2023/2/20 17:20,2023/2/20 19:10,1
221,3,117.653576;24.51893,118.13892148766;24.509648512094,2,2023/2/20 13:30,2023/2/20 16:00,1
222,4,117.71787847386;24.514322155626,118.140208;24.539503,3,2023/2/20 18:10,2023/2/20 21:00,1
223,1,117.685353;24.512075,118.116143;24.473533,3,2023/2/20 8:10,2023/2/20 10:00,1
224,2,117.679437;24.525215,118.097177;24.474324,1,2023/2/20 10:30,2023/2/20 12:00,1
225,1,117.645695;24.514471,118.147096;24.518197,1,2023/2/20 13:30,2023/2/20 16:20,1
226,1,117.666969;24.50356,118.096361;24.485435,2,2023/2/20 10:40,2023/2/20 12:40,1
227,4,117.65167;24.530425,118.13914893862;24.533918234829,3,2023/2/20 11:20,2023/2/20 14:00,1
228,2,117.663619;24.520761,118.183899;24.510833,3,2023/2/20 12:30,2023/2/20 14:20,1
229,3,117.63722073508;24.517152150187,118.003747;24.526836,3,2023/2/20 9:20,2023/2/20 12:00,1
230,4,117.63722073508;24.517152150187,118.116572;24.470883,4,2023/2/20 9:00,2023/2/20 11:40,1
231,4,117.667781;24.522926,118.12763;24.487841,4,2023/2/20 16:40,2023/2/20 18:10,1
232,1,117.717647;24.515842,118.172978;24.468862,2,2023/2/20 17:30,2023/2/20 20:00,1
233,1,117.717647;24.515842,118.090463;24.460817,1,2023/2/20 11:20,2023/2/20 13:00,1
234,1,117.68482;24.509271,118.127237;24.486176,4,2023/2/20 16:20,2023/2/20 19:20,1
235,2,117.693718;24.528485,118.186194;24.477463,2,2023/2/20 18:40,2023/2/20 20:40,1
236,1,117.68581;24.509089,118.166872;24.509339,2,2023/2/20 16:30,2023/2/20 18:30,1
237,1,117.68419828925;24.529061224789,118.101026;24.59154,4,2023/2/20 10:00,2023/2/20 12:20,1
238,2,117.67724;24.518549,118.087792;24.495099,1,2023/2/20 10:30,2023/2/20 13:30,1
239,2,117.683932;24.525945,118.086811;24.466656,2,2023/2/20 19:20,2023/2/20 22:10,1
240,2,117.661016;24.514304,118.189746;24.526978,2,2023/2/20 6:00,2023/2/20 9:00,1
241,2,117.76014279492;24.506001122182,118.153518;24.536221,1,2023/2/20 19:00,2023/2/20 22:20,1
242,1,117.663619;24.520761,118.171959;24.538366,1,2023/2/20 6:30,2023/2/20 9:40,1
243,1,117.63938962442;24.543130843124,118.14181690598;24.502282684866,3,2023/2/20 7:10,2023/2/20 10:00,1
244,1,117.751026;24.508916,118.050888;24.577268,2,2023/2/20 8:20,2023/2/20 10:30,1
245,2,117.66534;24.523673,118.138311;24.539495,4,2023/2/20 12:00,2023/2/20 14:40,1
246,1,117.654946;24.530098,118.09219074747;24.471226813803,2,2023/2/20 8:00,2023/2/20 11:00,1
247,1,117.745258;24.52001,118.124686;24.522977,3,2023/2/20 12:30,2023/2/20 14:30,1
248,2,117.684466;24.529476,118.14181690598;24.502282684866,1,2023/2/20 7:10,2023/2/20 10:20,1
249,1,117.683642;24.528357,118.098958;24.474958,1,2023/2/20 19:20,2023/2/20 22:00,1
250,1,117.675947;24.503871,118.124686;24.522977,4,2023/2/20 8:40,2023/2/20 10:00,1
