订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
49,1,118.22038752024379;24.542955353824688,117.29643652830734;23.942476311721027,3,720,880,0
50,1,118.30740456574733;24.671130067182656,117.42882294225865;24.2390475939405,3,460,610,0
51,2,118.173042;24.494727,117.678899;24.515901,3,920,1020,0
52,2,118.149764;24.501378,117.68437889976;24.503320892701,4,440,600,0
53,2,118.122817;24.476115,117.684146;24.503435,1,780,990,0
54,2,118.1536644891;24.529376067052,117.66154;24.518553,3,380,540,0
55,1,118.051922;24.502317,117.69036743751;24.519298495169,1,420,600,0
56,2,118.100489;24.464669,117.68044;24.500882,1,700,840,0
57,2,118.164594;24.522825,117.661917;24.530747,4,400,570,0
58,1,118.14700856176;24.488586849473,117.643071;24.526515,3,960,1110,0
59,2,118.09341;24.457563,117.694232;24.499381,1,970,1170,0
60,3,118.135791;24.518396,117.64100688838;24.52798818223,1,620,720,0
61,2,118.112634;24.530911,117.693651;24.517527,1,740,910,0
62,2,118.146154;24.498824,117.667009;24.515251,4,430,630,0
63,1,118.147598;24.505606,117.68770540473;24.508956181341,2,700,860,0
64,1,118.122503;24.530575,117.668641;24.513904,1,380,480,0
65,3,118.134151;24.533429,117.653827;24.519197,2,750,860,0
66,1,118.122452;24.474705,117.639912;24.530677,1,390,570,0
67,2,118.138769;24.501835,117.660499;24.516339,3,910,1080,0
68,1,118.108777;24.471554,117.68078;24.499595,2,630,720,0
69,2,118.183899;24.510833,117.684466;24.529476,3,420,570,0
70,1,118.13188712671;24.508998577128,117.684139;24.503433,2,1020,1230,0
71,2,118.130592;24.48908,117.693718;24.528485,1,510,640,0
72,3,118.16531318138;24.529536455908,117.717647;24.515842,3,960,1090,0
73,2,118.087159;24.4665,117.644197;24.522187,4,1140,1280,0
74,2,118.100646;24.476298,117.677854;24.501677,1,660,880,0
75,4,118.11129248476;24.471905309826,117.669991;24.528661,2,450,620,0
76,2,118.09435300289;24.507376457581,117.64098203008;24.529200043691,2,540,660,0
77,2,118.120002;24.52021,117.676098;24.517359,1,730,850,0
78,3,118.10735258861;24.444014045579,117.682069;24.517861,2,690,850,0
79,2,118.122503;24.530575,117.717647;24.515842,3,440,620,0
80,2,118.142409;24.513711,117.63539;24.530264,2,850,1020,0
81,1,118.180023;24.472874,117.641137;24.529225,4,780,900,0
82,1,118.122647;24.444612,117.679676;24.510778,2,1180,1340,0
83,4,118.186194;24.477463,117.637117;24.529246,1,1180,1320,0
84,4,118.166872;24.509339,117.67169;24.524463,4,1170,1360,0
85,3,118.101026;24.59154,117.646397;24.547079,4,800,960,0
86,3,118.087792;24.495099,117.754821;24.491551,1,660,880,0
87,3,118.086811;24.466656,117.717647;24.515842,2,1090,1260,0
88,1,118.189746;24.526978,117.728362;24.524333,1,430,550,0
89,1,118.153518;24.536221,117.728362;24.524333,2,960,1160,0
90,1,118.171959;24.538366,117.720707;24.523888,1,450,640,0
91,3,118.14181690598;24.502282684866,117.63539;24.530264,4,1170,1270,0
92,3,118.050888;24.577268,117.63539;24.530264,4,980,1100,0
93,4,118.138311;24.539495,117.684811;24.512424,1,560,750,0
94,1,118.09219074747;24.471226813803,117.637117;24.529246,1,750,910,0
95,4,118.124686;24.522977,117.704549;24.51671,3,690,790,0
96,4,118.14181690598;24.502282684866,117.740786;24.518543,3,960,1160,0
97,3,118.098958;24.474958,117.659236;24.499268,2,460,630,0
98,1,118.200545;24.489846,117.64310143842;24.52368089184,1,930,1030,0
99,1,118.133164;24.509944,117.693897;24.517636,3,1020,1180,0
100,1,118.094885;24.468485,117.63297175002;24.527466847647,2,610,820,0
101,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,1120,1300,1
102,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,1160,1290,1
103,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,1080,1230,1
104,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,1050,1230,1
105,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,510,700,1
106,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,720,860,1
107,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,670,870,1
108,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,780,990,1
109,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,780,960,1
110,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,540,720,1
111,2,117.75470750103207;24.299301823336656,118.35742737213843;24.6704939284426,1,360,480,1
112,2,117.44304319001276;24.12825764425163,118.20767079639603;24.557690373000334,1,620,720,1
113,3,117.46476052796791;23.945532528121213,118.01114492585258;24.785769598114584,1,800,940,1
114,1,117.46335603483234;23.70808734349064,118.25325420184915;24.577524933990926,2,690,860,1
115,1,117.78904678670095;24.09094928656882,118.04103240562112;24.63089029570196,4,420,570,1
116,2,117.60367634006859;23.80437791834335,118.17996591571759;24.697277653952764,4,1060,1160,1
117,1,117.71209810198854;24.188186925316252,118.03552722166994;24.66650579059484,4,520,620,1
118,1,117.9121942253346;24.387979143888728,118.02684665655275;24.90022145438485,1,970,1160,1
119,1,117.5581815947885;24.313744506953146,118.13112262095866;24.887384809014193,2,900,1020,1
120,1,117.6646722303947;25.113345386749057,117.98045379139343;24.68157561936239,4,660,870,1
121,1,117.57584823924273;24.81837213390699,118.2576335749422;24.570473441165536,2,870,960,1
122,3,117.45985108225553;23.981481727768028,118.01010873171816;24.52256982141459,2,510,660,1
123,1,117.89271411026832;24.374961617673485,118.11717366649839;24.71920604093249,4,1100,1200,1
124,2,117.50934749530505;25.007309666789574,117.99117573074844;24.621686104337805,2,610,820,1
125,1,117.38285069212795;23.65282443206233,118.03659293067844;24.765431816704506,2,1140,1290,1
126,2,117.42135587317563;24.983337232180485,118.0329870636804;24.647951852065273,2,1040,1140,1
127,1,117.47530985021562;24.669888163811347,118.19715856557124;24.549886424928417,3,900,1020,1
128,2,117.1489729609275;23.738581407544018,118.18273978466647;24.58012635769914,4,800,970,1
129,3,117.97914902427267;24.231254182072036,118.23679085899407;24.825284620014948,4,780,910,1
130,2,117.2061552569025;23.76528114756197,118.10142347069328;24.667764761659317,2,920,1080,1
131,2,117.80041896825288;24.401567360436925,118.21171498983585;24.720190215085896,3,360,480,1
132,1,117.38736904540428;24.77583543994673,118.06227293152993;24.638830956624727,1,900,1120,1
133,1,117.4583948669168;23.922265274574595,118.12716116320996;24.863411908443343,2,750,850,1
134,2,117.34030355304311;24.714190327237475,118.1611642882363;24.4396155949103,2,600,720,1
135,1,117.93103390576792;24.729419667697893,118.15497139038868;24.791016651056236,2,500,660,1
136,1,117.1109477409448;23.819662182434104,118.257105229325;24.65615776243608,4,720,900,1
137,1,117.3792595113963;24.281249616906578,118.17942421545808;24.532986318769403,2,580,750,1
138,2,117.23916269956409;24.211580956396535,118.06759685264812;24.570692759074312,1,750,910,1
139,1,117.71809448646499;24.27622099469845,118.12244356956924;24.486898414345355,2,1100,1210,1
140,3,117.89628978367095;24.318578737582854,118.19622401074315;24.62435779870681,1,1150,1320,1
141,2,117.73719086468174;24.224572700842895,118.05939078509714;24.702506132165748,3,1080,1260,1
142,1,117.47050557896328;24.480386983180452,118.17882717675684;24.483003926868456,2,560,730,1
143,2,117.62958234560539;24.45439884482236,118.16335178195281;24.652787864015764,3,870,980,1
144,2,118.04101255419718;24.272346491855124,118.08878591657607;24.579572913616648,2,380,540,1
145,1,116.95691171026354;24.333619875599453,118.18119361760444;24.55404449999228,1,480,620,1
146,1,117.27518111384612;24.83368140166752,117.94225366295657;24.549340764333053,3,400,550,1
147,3,117.83484768357069;24.30386763840631,118.1209754786019;24.858016517752933,4,1180,1330,1
148,2,117.78222127122544;24.72626710491461,118.24219259639175;24.751215380958076,1,1150,1320,1
149,2,117.32667930069869;24.44870568687046,118.07151265217;24.49755441687103,1,580,660,1
150,1,117.94345281728569;24.69804843092685,117.97844016765272;24.48676920425342,2,360,560,1
151,1,117.693637;24.52824,118.18522926967;24.509901606398,2,440,540,1
152,2,117.684811;24.512424,118.182606;24.495634,2,520,670,1
153,3,117.669991;24.528661,118.182606;24.495634,4,780,960,1
154,2,117.678913;24.516279,118.16725;24.491793,3,640,810,1
155,4,117.653827;24.519197,118.11000790788;24.4952953124,3,640,780,1
156,2,117.653827;24.519197,118.11000790788;24.4952953124,3,700,780,1
157,2,117.678178;24.523221,118.112696;24.533559,3,900,1050,1
158,2,117.689955;24.524545,118.096457;24.448393,2,990,1150,1
159,2,117.705381;24.510971,118.039564;24.490319,4,990,1100,1
160,3,117.674388;24.508624,118.12499;24.522723,2,790,910,1
161,4,117.670683;24.506202,118.09049818121;24.463037798054,2,660,780,1
162,4,117.676667;24.528841,118.101806;24.47655,1,840,1020,1
163,2,117.665722;24.522311,118.12763;24.487841,2,1120,1270,1
164,4,117.654187;24.537701,118.065654;24.499184,1,840,960,1
165,1,117.63587;24.544614,118.16020853539;24.498664190714,3,980,1100,1
166,4,117.63587;24.544614,118.052359;24.486362,3,1100,1300,1
167,2,117.653827;24.519197,118.181416;24.497763,3,840,1030,1
168,2,117.641443;24.527458,118.162783;24.491114,3,600,780,1
169,3,117.68131919888;24.500737817929,118.16457;24.492842,1,1120,1290,1
170,2,117.676667;24.528841,118.138479;24.523868,2,820,970,1
171,3,117.654187;24.537701,118.13413136336;24.499481864318,4,560,760,1
172,3,117.671412;24.514192,118.14763792568;24.541314317145,2,1120,1290,1
173,3,117.671412;24.514192,118.198659;24.51389,2,610,800,1
174,3,117.751241;24.508862,118.140964;24.500304,2,870,970,1
175,2,117.678899;24.515901,118.122401;24.484232,1,970,1140,1
176,4,117.630284;24.523594,118.19745211026;24.526807390155,1,370,560,1
177,2,117.690664;24.529167,118.138195;24.540451,4,600,810,1
178,1,117.637211;24.523941,118.10514206076;24.478344854301,3,720,850,1
179,1,117.726313;24.508119,118.183899;24.510833,4,960,1180,1
180,2,117.637211;24.523941,118.140208;24.539503,3,720,840,1
181,3,117.6834;24.503343,118.17291938929;24.48851964441,4,450,570,1
182,1,117.6834;24.503343,118.116572;24.470883,1,900,1080,1
183,3,117.708133;24.508331,118.01535;24.49472,1,610,820,1
184,1,117.671234;24.503694,118.128473;24.442679,2,820,960,1
185,3,117.635354;24.530235,118.14903050488;24.508144093018,2,1080,1280,1
186,1,117.637117;24.529246,118.104233;24.477602,4,450,570,1
187,2,117.642692;24.521122,118.186522;24.513146,1,680,840,1
188,2,117.642692;24.521122,118.118408;24.434435,4,690,860,1
189,2,117.684146;24.503435,118.184026;24.510897,1,370,570,1
190,4,117.67186;24.518244,118.168469;24.530683,3,900,1020,1
191,4,117.67186;24.518244,118.153518;24.536221,4,610,790,1
192,4,117.680122;24.523849,118.204635;24.501241,3,570,660,1
193,3,117.663166;24.520764,118.106363;24.467081,3,460,540,1
194,1,117.643843;24.525703,118.16983147291;24.524612869969,4,560,720,1
195,4,117.704549;24.51671,118.103837;24.445274,1,780,900,1
196,2,117.682731;24.541911,118.183899;24.510833,3,1180,1260,1
197,4,117.665232;24.517371,118.183899;24.510833,2,380,490,1
198,1,117.688378;24.525087,118.051815;24.498884,2,840,960,1
199,3,117.685299;24.508767,118.165966;24.514566,1,1180,1360,1
200,2,117.695383;24.519713,118.180623;24.48723,1,1060,1220,1
201,4,117.67724;24.518549,118.151074;24.488211,4,430,600,1
202,3,117.678178;24.523221,118.083848;24.459592,3,660,800,1
203,3,117.663619;24.520761,118.038543;24.499683,4,1140,1290,1
204,3,117.906285;24.532037,118.159405;24.537005,4,790,1000,1
205,4,117.684146;24.503435,118.186942;24.514413,3,400,540,1
206,4,117.67550422499;24.506087438163,118.118763;24.536886,3,720,880,1
207,2,117.661864;24.517239,118.16762522327;24.508258631854,1,750,840,1
208,3,117.644369;24.513184,118.122648;24.473529,2,840,1040,1
209,1,117.72461687812;24.513313713423,118.100371;24.464382,3,620,810,1
210,1,117.678178;24.523221,118.138311;24.539495,2,1180,1260,1
211,1,117.906285;24.532037,118.087159;24.4665,1,920,1020,1
212,2,117.643563;24.543397,118.139197;24.493458,3,1140,1300,1
213,4,117.729484;24.503786,118.124466;24.551239,4,1180,1280,1
214,3,117.687297;24.5209,118.107837;24.543986,1,730,880,1
215,1,117.684242;24.503223,118.08607167492;24.484148597976,1,450,570,1
216,3,117.666567;24.530413,118.103685;24.521407,4,430,630,1
217,2,117.751026;24.508916,118.094042;24.468186,4,630,790,1
218,3,117.663619;24.520761,118.148656;24.51882,2,360,540,1
219,3,117.660081;24.498861,118.105588;24.492714,4,360,550,1
220,2,117.684466;24.529476,118.145403;24.512697,4,1040,1150,1
221,3,117.653576;24.51893,118.13892148766;24.509648512094,2,810,960,1
222,4,117.71787847386;24.514322155626,118.140208;24.539503,3,1090,1260,1
223,1,117.685353;24.512075,118.116143;24.473533,3,490,600,1
224,2,117.679437;24.525215,118.097177;24.474324,1,630,720,1
225,1,117.645695;24.514471,118.147096;24.518197,1,810,980,1
226,1,117.666969;24.50356,118.096361;24.485435,2,640,760,1
227,4,117.65167;24.530425,118.13914893862;24.533918234829,3,680,840,1
228,2,117.663619;24.520761,118.183899;24.510833,3,750,860,1
229,3,117.63722073508;24.517152150187,118.003747;24.526836,3,560,720,1
230,4,117.63722073508;24.517152150187,118.116572;24.470883,4,540,700,1
231,4,117.667781;24.522926,118.12763;24.487841,4,1000,1090,1
232,1,117.717647;24.515842,118.172978;24.468862,2,1050,1200,1
233,1,117.717647;24.515842,118.090463;24.460817,1,680,780,1
234,1,117.68482;24.509271,118.127237;24.486176,4,980,1160,1
235,2,117.693718;24.528485,118.186194;24.477463,2,1120,1240,1
236,1,117.68581;24.509089,118.166872;24.509339,2,990,1110,1
237,1,117.68419828925;24.529061224789,118.101026;24.59154,4,600,740,1
238,2,117.67724;24.518549,118.087792;24.495099,1,630,810,1
239,2,117.683932;24.525945,118.086811;24.466656,2,1160,1330,1
240,2,117.661016;24.514304,118.189746;24.526978,2,360,540,1
241,2,117.76014279492;24.506001122182,118.153518;24.536221,1,1140,1340,1
242,1,117.663619;24.520761,118.171959;24.538366,1,390,580,1
243,1,117.63938962442;24.543130843124,118.14181690598;24.502282684866,3,430,600,1
244,1,117.751026;24.508916,118.050888;24.577268,2,500,630,1
245,2,117.66534;24.523673,118.138311;24.539495,4,720,880,1
246,1,117.654946;24.530098,118.09219074747;24.471226813803,2,480,660,1
247,1,117.745258;24.52001,118.124686;24.522977,3,750,870,1
248,2,117.684466;24.529476,118.14181690598;24.502282684866,1,430,620,1
249,1,117.683642;24.528357,118.098958;24.474958,1,1160,1320,1
250,1,117.675947;24.503871,118.124686;24.522977,4,520,600,1
251,2,117.663619;24.520761,118.050888;24.577268,4,450,580,1
252,1,117.675425;24.515657,118.13862;24.540399,1,1140,1340,1
253,1,117.653827;24.519197,118.124821;24.521466,2,660,870,1
254,1,117.666458;24.508181,118.16833420898;24.507659020116,2,600,740,1
255,2,117.652196;24.518144,118.16833420898;24.507659020116,3,870,1000,1
256,1,117.644497;24.521711,118.099525;24.444959,3,780,980,1
257,1,117.68581;24.509089,118.090702;24.497068,3,980,1100,1
258,1,117.685299;24.508767,118.107601;24.516244,3,600,750,1
259,2,117.666567;24.530413,118.133645;24.507608,2,1080,1260,1
260,2,117.653576;24.51893,118.14888;24.496463,1,1090,1260,1
261,2,117.66534;24.523673,118.13562807693;24.519151966485,1,1180,1260,1
262,1,117.744312;24.5016,118.14257;24.529641,1,720,850,1
263,2,117.63201;24.560829,118.173406;24.530138,4,960,1110,1
264,2,117.652196;24.518144,118.133645;24.507608,3,860,1020,1
265,1,117.658291;24.508098,118.135384;24.516712,2,880,990,1
266,2,117.73498502265;24.508076247999,118.19496964299;24.524006793623,2,520,690,1
267,2,117.705381;24.510971,118.16527599967;24.482964841817,4,780,960,1
268,2,117.637117;24.529246,118.113195006;24.530036019212,4,670,780,1
269,2,117.664683;24.524534,118.12252904755;24.520747106379,4,1110,1260,1
270,3,117.673729;24.512663,118.090051;24.457238,2,600,820,1
271,1,117.693853;24.506097,118.15941;24.532654,1,750,940,1
272,1,117.632608;24.56147,118.193738;24.491354,2,450,550,1
273,1,117.7177485771;24.516862899166,118.116142;24.479526,4,740,840,1
274,2,117.64097017245;24.531762440422,118.122648;24.473529,2,1170,1340,1
275,1,117.663619;24.520761,118.087474;24.452838,4,390,490,1
276,2,117.729857;24.513476,118.120612;24.476031,3,840,1000,1
277,2,117.668889;24.502953,118.155309;24.499216,3,500,640,1
278,2,117.666263;24.51183,118.105219;24.51341,1,1110,1240,1
279,3,117.660499;24.516339,118.1387578164;24.540415963197,2,910,1120,1
280,2,117.684146;24.503435,118.12807502824;24.502151101371,4,1140,1280,1
281,1,117.687103;24.521095,118.105219;24.51341,2,370,510,1
282,1,117.662295;24.529239,118.158971;24.515599,1,360,550,1
283,3,117.677894;24.527694,118.093865;24.444818,3,680,780,1
284,1,117.635755;24.544899,118.110609;24.509667,2,510,660,1
285,3,117.668166;24.51658,118.169626;24.531906,3,1160,1340,1
286,3,117.667749;24.514869,118.079681;24.461028,1,820,920,1
287,3,117.652196;24.518144,118.200545;24.489846,4,1140,1320,1
288,1,117.623012;24.532703,118.133164;24.509944,2,1160,1320,1
289,1,117.641137;24.529225,118.094885;24.468485,1,720,850,1
290,2,117.729484;24.503786,118.1387578164;24.540415963197,2,480,660,1
291,2,117.672602;24.504549,118.15185;24.496112,3,660,860,1
292,2,117.693897;24.517636,118.196072;24.537479,1,900,1030,1
293,2,117.673671;24.525962,118.15475;24.550039,3,1080,1230,1
294,3,117.671789;24.504716,118.168959;24.498488,1,1050,1210,1
295,3,117.663595;24.523633,118.122859;24.531129,2,780,960,1
296,1,117.684146;24.503435,118.183157;24.51437,3,490,660,1
297,3,117.693897;24.517636,118.08369799442;24.469602226903,1,900,1110,1
298,1,117.685299;24.508767,118.089013;24.458939,4,660,840,1
299,3,117.739493;24.521201,118.054595;24.502596,3,1140,1280,1
300,2,117.653827;24.519197,118.17195;24.538409,3,930,1050,1
301,2,117.663853;24.515806,118.118158;24.522245,2,620,800,1
302,2,117.676667;24.528841,118.08076545846;24.471986051948,2,1080,1200,1
303,2,117.629486;24.519133,118.16250268886;24.532157900431,1,600,780,1
304,2,117.661016;24.514304,118.125328;24.539735,2,1020,1170,1
305,2,117.66143;24.519705,118.125328;24.539735,2,720,850,1
306,2,117.679378;24.527422,118.096155;24.475096,4,910,1080,1
307,1,117.664673;24.515106,118.179523;24.473734,1,600,780,1
308,2,117.667781;24.522926,118.08076545846;24.471986051948,2,620,740,1
309,3,117.660339;24.512871,118.125328;24.539735,2,440,580,1
310,3,117.693897;24.517636,118.079595;24.460984,1,900,1060,1
311,3,117.674293;24.502819,118.149764;24.497763,3,450,550,1
312,2,117.654245;24.538085,118.185433;24.473161,3,1140,1290,1
313,1,117.681411;24.503378,118.096155;24.475096,3,740,840,1
314,2,117.674204;24.508199,118.137764;24.540182,4,1120,1280,1
315,2,117.684242;24.503223,118.122792;24.487778,3,640,780,1
316,2,117.684146;24.503434,118.090512;24.485162,2,360,540,1
317,1,117.689016;24.514667,118.173406;24.530138,2,420,560,1
318,1,117.652196;24.518144,118.186194;24.477463,4,860,1040,1
319,3,117.664281;24.508203,118.082938;24.461349,1,810,960,1
320,1,117.663619;24.520761,118.126096;24.497345,4,1150,1260,1
321,1,117.667497;24.515857,118.099118;24.460559,3,600,760,1
322,3,117.738998;24.520093,118.167077;24.484783,3,420,540,1
323,1,117.663323;24.515571,118.13502454853;24.497762392952,1,850,960,1
324,2,117.676399;24.509324,118.133551;24.521115,4,490,660,1
325,3,117.633028;24.527163,118.096668;24.474708,4,610,720,1
326,2,117.685299;24.508767,118.118841;24.500348,1,810,960,1
327,2,117.68016670301;24.498549432579,118.165155;24.535233,4,940,1020,1
328,2,117.68016670301;24.498549432579,118.13359115453;24.506045892843,1,510,660,1
329,3,117.730625;24.505608,118.117604;24.438399,2,480,630,1
330,3,117.674186;24.512202,118.049719;24.577756,2,860,1060,1
331,1,117.639903;24.529357,118.095974;24.441872,1,1000,1140,1
332,3,117.68851397968;24.507091413068,118.138773;24.4925,4,520,630,1
333,3,117.68581;24.509089,118.09464877011;24.442448866989,2,840,970,1
334,1,117.729857;24.513476,118.158877;24.482632,3,720,840,1
335,1,117.637989;24.525836,118.185433;24.473161,4,920,1120,1
336,1,117.653827;24.519197,118.09964671435;24.444033467883,3,990,1110,1
337,3,117.687297;24.5209,118.15941;24.532654,4,900,1040,1
338,3,117.685299;24.508767,118.147324;24.484622,1,360,540,1
339,1,117.674186;24.512202,118.186194;24.477463,4,420,580,1
340,1,117.668713;24.508097,118.023006;24.527145,3,980,1080,1
341,1,117.678517;24.506916,118.07975;24.462483,4,810,980,1
342,1,117.635755;24.544899,118.182606;24.495634,3,780,920,1
343,2,117.661372;24.513342,118.183899;24.510833,1,400,580,1
344,2,117.678178;24.523221,118.099967;24.462083,3,840,1030,1
345,2,117.680527;24.526679,118.159488;24.534066,1,700,810,1
346,1,117.654491;24.529778,118.08196;24.46649,4,360,580,1
347,2,117.664673;24.515106,118.16567838961;24.483279331615,2,500,620,1
348,1,117.643563;24.543397,118.147092;24.479889,3,700,780,1
349,1,117.684811;24.512424,118.09341;24.457563,4,820,970,1
350,1,117.660499;24.516339,118.110425;24.508104,4,420,610,1
351,3,117.685299;24.508767,118.144359;24.518434,4,700,840,1
352,1,117.678399;24.516346,118.147092;24.479889,1,700,820,1
353,3,117.6781;24.520257,118.165619;24.515831,1,560,740,1
354,2,117.666246;24.521817,118.156758;24.520388,1,580,700,1
355,2,117.65585680152;24.509459129599,118.13711;24.491168,1,400,490,1
356,3,117.667487;24.539748,118.12264841386;24.473528693312,1,800,990,1
357,3,117.653827;24.519197,118.04546465701;24.495098016183,1,360,580,1
358,3,117.667399;24.503491,118.05025994394;24.497187662334,2,510,610,1
359,1,117.663619;24.520761,118.05025994394;24.497187662334,4,940,1080,1
360,2,117.707707;24.512052,118.015099;24.486881,4,800,900,1
361,3,117.656649;24.531181,118.140685;24.531679,1,1000,1150,1
362,1,117.693897;24.517636,118.149345;24.483388,2,790,910,1
363,2,117.658291;24.508098,118.186194;24.477463,3,400,540,1
364,1,117.660499;24.516339,118.14888;24.496465,4,1140,1340,1
365,2,117.73011450784;24.504428140432,118.12537475229;24.504158341814,1,360,540,1
366,1,117.660081;24.498861,118.159693;24.505406,2,450,580,1
367,2,117.744312;24.5016,118.138311;24.539495,3,870,1050,1
368,3,117.688378;24.52427,118.128111;24.485402,2,930,1020,1
369,1,117.678899;24.515901,118.099333;24.475537,3,440,640,1
370,2,117.684146;24.503435,118.006311;24.533633,2,1080,1280,1
371,4,117.66154;24.518553,118.174427;24.528098,3,480,630,1
372,4,117.69036743751;24.519298495169,118.184026;24.510897,2,940,1030,1
373,1,117.68044;24.500882,118.136503;24.496323,1,580,720,1
374,3,117.673642;24.531074,118.080553;24.642667,1,910,1100,1
375,1,117.655283;24.518147,118.138311;24.539495,2,360,480,1
376,2,117.644972;24.517535,118.16725;24.491793,1,670,840,1
377,1,117.660339;24.512871,118.104327;24.478256,2,1140,1320,1
378,3,117.658205;24.524301,118.164449;24.502682,2,960,1160,1
379,3,117.71755883428;24.518932698977,118.032864;24.496845,4,380,510,1
