订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
117,2,117.653827;24.519197,118.181416;24.497763,3,2023/2/20 14:00,2023/2/20 17:10,1
118,2,117.641443;24.527458,118.162783;24.491114,3,2023/2/20 10:00,2023/2/20 13:00,1
119,3,117.68131919888;24.500737817929,118.16457;24.492842,1,2023/2/20 18:40,2023/2/20 21:30,1
120,2,117.676667;24.528841,118.138479;24.523868,2,2023/2/20 13:40,2023/2/20 16:10,1
121,3,117.654187;24.537701,118.13413136336;24.499481864318,4,2023/2/20 9:20,2023/2/20 12:40,1
122,3,117.671412;24.514192,118.14763792568;24.541314317145,2,2023/2/20 18:40,2023/2/20 21:30,1
123,3,117.671412;24.514192,118.198659;24.51389,2,2023/2/20 10:10,2023/2/20 13:20,1
124,3,117.751241;24.508862,118.140964;24.500304,2,2023/2/20 14:30,2023/2/20 16:10,1
125,2,117.678899;24.515901,118.122401;24.484232,1,2023/2/20 16:10,2023/2/20 19:00,1
126,4,117.630284;24.523594,118.19745211026;24.526807390155,1,2023/2/20 6:10,2023/2/20 9:20,1
127,2,117.690664;24.529167,118.138195;24.540451,4,2023/2/20 10:00,2023/2/20 13:30,1
128,1,117.637211;24.523941,118.10514206076;24.478344854301,3,2023/2/20 12:00,2023/2/20 14:10,1
129,1,117.726313;24.508119,118.183899;24.510833,4,2023/2/20 16:00,2023/2/20 19:40,1
130,2,117.637211;24.523941,118.140208;24.539503,3,2023/2/20 12:00,2023/2/20 14:00,1
131,3,117.6834;24.503343,118.17291938929;24.48851964441,4,2023/2/20 7:30,2023/2/20 9:30,1
132,1,117.6834;24.503343,118.116572;24.470883,1,2023/2/20 15:00,2023/2/20 18:00,1
133,3,117.708133;24.508331,118.01535;24.49472,1,2023/2/20 10:10,2023/2/20 13:40,1
134,1,117.671234;24.503694,118.128473;24.442679,2,2023/2/20 13:40,2023/2/20 16:00,1
135,3,117.635354;24.530235,118.14903050488;24.508144093018,2,2023/2/20 18:00,2023/2/20 21:20,1
136,1,117.637117;24.529246,118.104233;24.477602,4,2023/2/20 7:30,2023/2/20 9:30,1
137,2,117.642692;24.521122,118.186522;24.513146,1,2023/2/20 11:20,2023/2/20 14:00,1
138,2,117.642692;24.521122,118.118408;24.434435,4,2023/2/20 11:30,2023/2/20 14:20,1
139,2,117.684146;24.503435,118.184026;24.510897,1,2023/2/20 6:10,2023/2/20 9:30,1
140,4,117.67186;24.518244,118.168469;24.530683,3,2023/2/20 15:00,2023/2/20 17:00,1
141,4,117.67186;24.518244,118.153518;24.536221,4,2023/2/20 10:10,2023/2/20 13:10,1
142,4,117.680122;24.523849,118.204635;24.501241,3,2023/2/20 9:30,2023/2/20 11:00,1
143,3,117.663166;24.520764,118.106363;24.467081,3,2023/2/20 7:40,2023/2/20 9:00,1
144,1,117.643843;24.525703,118.16983147291;24.524612869969,4,2023/2/20 9:20,2023/2/20 12:00,1
145,4,117.704549;24.51671,118.103837;24.445274,1,2023/2/20 13:00,2023/2/20 15:00,1
146,2,117.682731;24.541911,118.183899;24.510833,3,2023/2/20 19:40,2023/2/20 21:00,1
147,4,117.665232;24.517371,118.183899;24.510833,2,2023/2/20 6:20,2023/2/20 8:10,1
148,1,117.688378;24.525087,118.051815;24.498884,2,2023/2/20 14:00,2023/2/20 16:00,1
149,3,117.685299;24.508767,118.165966;24.514566,1,2023/2/20 19:40,2023/2/20 22:40,1
150,2,117.695383;24.519713,118.180623;24.48723,1,2023/2/20 17:40,2023/2/20 20:20,1
